aX,aY,aZ,gX,gY,gZ
0.979,0.036,0.175,1.587,-14.587,8.057
0.968,0.048,0.193,2.747,-15.381,8.789

-0.623,0.293,0.754,5.371,0.000,3.235
-0.624,0.288,0.758,4.333,-2.380,2.686
-0.621,0.285,0.758,4.761,-2.380,2.380
-0.619,0.279,0.759,5.859,-0.305,1.831
-0.618,0.272,0.763,5.737,1.526,0.671
-0.611,0.260,0.757,4.517,0.549,-0.061
-0.600,0.248,0.746,5.127,2.319,-0.183
-0.591,0.242,0.736,4.517,2.197,-0.305
-0.582,0.234,0.732,4.639,1.587,-0.183
-0.574,0.231,0.729,5.249,0.732,1.038
-0.571,0.232,0.729,5.127,-0.366,1.953
-0.577,0.230,0.742,5.554,-1.038,2.502
-0.581,0.225,0.759,5.554,-0.732,2.747
-0.585,0.224,0.766,4.700,-0.305,2.869
-0.593,0.217,0.775,4.150,1.343,2.930
-0.595,0.214,0.782,3.784,2.625,2.747
-0.592,0.209,0.779,2.502,4.089,2.808
-0.584,0.211,0.763,2.747,7.019,3.906
-0.575,0.219,0.743,1.892,7.263,5.005
-0.567,0.225,0.729,2.686,7.874,6.104
-0.565,0.235,0.722,1.648,4.822,6.836
-0.570,0.248,0.724,2.563,4.578,7.568
-0.579,0.256,0.727,1.343,2.319,7.202
-0.585,0.266,0.727,1.465,-0.122,7.263
-0.595,0.272,0.732,1.831,-0.244,6.775
-0.601,0.282,0.736,0.732,-3.479,6.531
-0.615,0.293,0.741,1.831,-2.197,6.653
-0.632,0.305,0.755,0.916,-3.113,5.676
-0.649,0.312,0.771,0.427,-4.883,5.005
-0.660,0.318,0.784,1.770,-3.235,4.395
-0.667,0.321,0.790,2.747,-0.305,3.540
-0.673,0.325,0.790,1.648,-1.648,2.563
-0.686,0.335,0.797,2.930,0.061,2.686
-0.716,0.358,0.823,5.005,2.319,3.296
-0.770,0.395,0.870,7.690,2.136,5.676
-0.873,0.453,0.946,11.536,2.380,9.033
-1.008,0.523,1.055,18.250,6.592,14.099
-1.197,0.589,1.213,29.724,15.869,21.667
-1.406,0.687,1.394,41.443,28.503,31.372
-1.662,0.881,1.646,54.321,45.715,40.955
-1.955,1.007,1.930,65.369,72.815,43.945
-2.229,1.117,2.264,72.388,113.220,35.461
-2.448,1.176,2.450,61.523,165.100,15.686
-2.532,1.122,2.501,42.725,227.478,-14.282
-2.505,0.981,2.419,20.447,286.987,-51.758
-2.483,0.831,2.239,1.282,340.698,-88.135
-2.446,0.672,2.158,-11.047,380.554,-120.911
